id,Grouper,Tack,Meaning,created_at,updated_at
,L SCREEN,7,Geographic position indicated following DESIG.,NULL,NULL
,L SCREEN,8,Bearing Free_Text_Tack_1 from centre of the force or unit indicated. Range Free_Text_Tack_2 hundred yards.,NULL,NULL
,T SCREEN,1,AAW,NULL,NULL
,T SCREEN,2,ASW,NULL,NULL
,T SCREEN,3,SW,NULL,NULL
,FLAG 1A,1,Attacking ship,NULL,NULL
,FLAG 1A,2,assisting ship,NULL,NULL
,FLAG 1A,3,directing ship,NULL,NULL
,FLAG 1B,1,Attacking ship,NULL,NULL
,FLAG 1B,2,assisting ship,NULL,NULL
,FLAG 1B,3,directing ship,NULL,NULL
,FLAG 1C,1,semarak api,NULL,NULL
,FLAG 1C,2,saga,NULL,NULL
,FLAG 1C,3,kayu manis,NULL,NULL
,FLAG 1C,4,kepong,NULL,NULL
,FLAG 1D,1,I am ready to attack (with ASW weapon from Table A),NULL,NULL
,FLAG 1D,2,I am commencing attack (with ASWweapon from Table A)(Safety range __),NULL,NULL
,FLAG 1D,3,Stand by for weapon firing (with ASWweapon from Table A) (bearing _____),NULL,NULL
,FLAG 1D,4,"Completed (firing bearing _____), (firing range _____)",NULL,NULL
,FLAG 1D,5,Aborte,NULL,NULL
,FLAG 1F,1,KEPONG MERAH,NULL,NULL
,FLAG 1F,2,KEPONG HITAM,NULL,NULL
,FLAG 1J,1,Torpedo,NULL,NULL
,FLAG 1J,2,Possible sub,NULL,NULL
,FLAG 1J,3,Decoy/jammer,NULL,NULL
,FLAG 1J,4,Undetermined,NULL,NULL
,FLAG 1K,1,Bow,NULL,NULL
,FLAG 1K,2,Beam,NULL,NULL
,FLAG 1K,3,Quarter,NULL,NULL
,FLAG 1K,4,Stern,NULL,NULL
,FLAG 1Q,1,Passive mode,NULL,NULL
,FLAG 1Q,2,Active mode.,NULL,NULL
,FLAG 1Q,3,As desired.,NULL,NULL
,FLAG 1Q,4,As ordered.,NULL,NULL
,FLAG 1R,1,"Possible submarine, confidence level 1",NULL,NULL
,FLAG 1R,2,"Possible submarine, confidence level 2",NULL,NULL
,FLAG 1R,3,"Possible submarine, confidence level 3",NULL,NULL
,FLAG 1R,4,"Possible submarine, confidence level 4",NULL,NULL
,FLAG 1R,5,Probable submarine,NULL,NULL
,FLAG 1R,6,CERTSUB,NULL,NULL
,FLAG 1R,7,Bottomed submarine,NULL,NULL
,FLAG 1R,8,Wake,NULL,NULL
,FLAG 1R,9,Nonsubmarine,NULL,NULL
,FLAG 1R,10,Decoy,NULL,NULL
,FLAG 1R,11,Mine-like,NULL,NULL
,FLAG 1R,12,Wreck,NULL,NULL
,FLAG 1R,13,Marine life,NULL,NULL
,FLAG 1R,14,Pinnacle (sea bottom),NULL,NULL
,FLAG 1R,15,Sonar jammer,NULL,NULL
,FLAG 1S,1,"Possible submarine, confidence level 1.",NULL,NULL
,FLAG 1S,2,"Possible submarine, confidence level 2.",NULL,NULL
,FLAG 1S,3,"Possible submarine, confidence level 3.",NULL,NULL
,FLAG 1S,4,"Possible submarine, confidence level 4.",NULL,NULL
,FLAG 1S,5,Probable submarine.,NULL,NULL
,FLAG 1S,6,CERTSUB,NULL,NULL
,FLAG 1S,7,Bottomed submarine.,NULL,NULL
,FLAG 1S,8,Wake,NULL,NULL
,FLAG 1S,9,Nonsubmarine.,NULL,NULL
,FLAG 1S,10,Decoy,NULL,NULL
,FLAG 1S,11,Mine-like.,NULL,NULL
,FLAG 1S,12,Wreck,NULL,NULL
,FLAG 1S,13,Marine life.,NULL,NULL
,FLAG 1S,14,Pinnacle (sea bottom),NULL,NULL
,FLAG 1S,15,Sonar jammer,NULL,NULL
,FLAG 1T,1,From this unit or unit indicated (bearing Free_Text_Tack_1 range Free_Text_Tack_2 thousand yards).,NULL,NULL
,FLAG 1T,2,"From this unit on circle, radius Free_Text_Tack_1 thousand yards",NULL,NULL
,FLAG 1T,3,"From contact on circle, radius Free_Text_Tack_1 thousand yards.",NULL,NULL
,FLAG 1T,4,In sectors Free_Text_Tack_1 to Free_Text_Tack_2 measured clockwise (on circle radius Free_Text_Tack_3 thousand yards).,NULL,NULL
,FLAG 1T,5,in sector Free_Text_Tack_1,NULL,NULL
,FLAG 1U,1,Fading,NULL,NULL
,FLAG 1U,2,Faint or difficult,NULL,NULL
,FLAG 1U,3,Intermittent,NULL,NULL
,FLAG 1V,1,Away/down,NULL,NULL
,FLAG 1V,2,Toward/up,NULL,NULL
,FLAG 1V,3,None,NULL,NULL
,FLAG 1W,1,Hydrophone,NULL,NULL
,FLAG 1W,2,Noise marker,NULL,NULL
,FLAG 1W,3,Radar,NULL,NULL
,FLAG 1W,4,Sonar echo,NULL,NULL
,FLAG 1X,1,Or close to my PORT or STBD side as indicated,NULL,NULL
,FLAG 1X,2,Close astern,NULL,NULL
,FLAG 1Y,1,Am no longer attacking ship,NULL,NULL
,FLAG 7L,1,Into grid position,NULL,NULL
,FLAG 7L,2,In accordance with plan previously ordered,NULL,NULL
,FLAG 7N,1,Distraction,NULL,NULL
,FLAG 7N,2,Confusion,NULL,NULL
,AK1,1,Deliberate,NULL,NULL
,AK1,2,Urgent,NULL,NULL
,AK1,3,Vector aircraf,NULL,NULL
,AK6,1,Known sunk,NULL,NULL
,AK6,2,Known damage,NULL,NULL
,AK6,3,Negative,NULL,NULL
,AK6,4,Non submarine,NULL,NULL
,AK6,5,No damage,NULL,NULL
,AK6,6,Oil,NULL,NULL
,AK6,7,Possible damaged,NULL,NULL
,AK6,8,Probable non submarine,NULL,NULL
,AK6,9,Underwater explosion,NULL,NULL
,AK6,10,Unknown,NULL,NULL
,AK6,11,Wreckage,NULL,NULL
,AK9,1,Between bearings Free_Text_Tack_1 and Free_Text_Tack_2 from formation centre,NULL,NULL
,AK9,2,In sector(s) indicated inferior to DESIG,NULL,NULL
,AK9,3,In all sectors,NULL,NULL
,AK13,1,Dispatch SAU's up the distance of Free_Text_Tack_1 miles or less,NULL,NULL
,AK13,2,Order a new screen if satisfactory protection cannot be achieved by adjustment of stations where units are detached.,NULL,NULL
,AK13,3,Select search plan to be used if a ship is torpedoed.,NULL,NULL
,AK13,4,Order departure/entry screen plans.,NULL,NULL
,AK13,5,Exercise tactical control of ASW pickets.,NULL,NULL
,AK15,1,Goblin (preceded by DESIG),NULL,NULL
,AK15,2,Periscope/snort,NULL,NULL
,AK15,3,Sonar contact,NULL,NULL
,AK18,1,Assume command as,NULL,NULL
,AK18,2,Is Free_Text_Tack_1,NULL,NULL
,AK19,1,Bottomed contact (in position_) of ship indicated,NULL,NULL
,AK19,2,Contact,NULL,NULL
,AK19,3,Datum (Datum designator preceded by DESIG),NULL,NULL
,AK19,4,Goblin (Goblin letter preceded by DESIG),NULL,NULL
,AK19,5,Racket (Racket letter preceded by DESIG),NULL,NULL
,AK19,6,Skunk (Skunk letter preceded by DESIG),NULL,NULL
,AK20,1,assumed command as,NULL,NULL
,AK20,2,is Free_Text_Tack_1,NULL,NULL
,AK24,1,Report bathythermograph reading,NULL,NULL
,AK24,2,Assume bathythermograph guard duty. (Report readings every Free_Text_Tack_1 hours(s),NULL,NULL
,AK24,3,I am making bathythermograph drop,NULL,NULL
,AK24,4,Bathythermograph drop completed,NULL,NULL
,AK24,5,Make bathythermograph drop and report reading,NULL,NULL
,AK27,1,Predicted sonar range above the layer depth,NULL,NULL
,AK27,2,Predicted sonar range below the layer depth,NULL,NULL
,AK27,3,Minimum predicted VDS range for targets below the layer depth. This range is predicted for a minimum target depth of feet,NULL,NULL
,AK27,4,Maximum predicted VDS range for targets below the layer depth. This range is predicted for a maximum target depth of feet,NULL,NULL
,AK27,5,Tactical sonar range for ships,NULL,NULL
,AK27,6,Tactical sonar range for helicopters,NULL,NULL
,AK31,1,Behaviour,NULL,NULL
,AK31,2,IFF,NULL,NULL
,AK31,3,Radio,NULL,NULL
,AK31,4,Visual,NULL,NULL
,AK35,1,Fast propeller noise,NULL,NULL
,AK35,2,Slow propeller noise,NULL,NULL
,AK35,3,Can hear submerged signals,NULL,NULL
,AK35,4,Can hear echo sounder signals,NULL,NULL
,AK35,5,Receipt of submarine attack signals on underwater telephone,NULL,NULL
,AK35,6,(Spare),NULL,NULL
,AK35,7,(Spare),NULL,NULL
,AK35,8,Periscope (or snort) radar echo,NULL,NULL
,AK35,9,Disappearing radar echo,NULL,NULL
,AK35,10,(Spare),NULL,NULL
,AK35,11,(Spare),NULL,NULL
,AK35,12,(Spare),NULL,NULL
,AK35,13,(Spare),NULL,NULL
,AK35,14,Conning towed (or wake) was seen,NULL,NULL
,AK35,15,Snort (or periscope) was seen,NULL,NULL
,AK35,16,Diving swirl was seen,NULL,NULL
,AK35,17,Oil (or flotsam) was seen,NULL,NULL
,AK35,18,(Spare),NULL,NULL
,AK35,19,(Spare),NULL,NULL
,AK35,20,(Spare),NULL,NULL
,AK35,21,Doopler effect is present,NULL,NULL
,AK35,22,Plot and/or recorders indicate likely movement,NULL,NULL
,AK35,23,Recorder trace is satisfactory,NULL,NULL
,AK35,24,Echo sounds good,NULL,NULL
,AK35,25,Extent of target is satisfactory,NULL,NULL
,AK35,26,Bottomed target appears to be shaped like a submarine,NULL,NULL
,AK35,27,(Spare),NULL,NULL
,AK35,28,(Spare),NULL,NULL
,AK35,29,(Spare),NULL,NULL
,AK35,30,(Spare),NULL,NULL
,AK35,31,Charecteristic were those of enemy submarine radar,NULL,NULL
,AK35,32,Characteristics were those of enemy submarine VHF voice,NULL,NULL
,AK35,33,Characteristics were those of submarine VHF radiotelegraph,NULL,NULL
,AK35,34,Interception classified definite ground wave and bearing was accurate,NULL,NULL
,AK35,35,Procedure used was probably enemy,NULL,NULL
,AK35,36,Preliminary call (or dying out signals) heard,NULL,NULL
,AK35,37,(Spare),NULL,NULL
,AK35,38,(Spare),NULL,NULL
,AK35,39,(Spare),NULL,NULL
,AK35,40,(Spare),NULL,NULL
,AK36,1,Diving,NULL,NULL
,AK36,2,Ascending/Surfacing,NULL,NULL
,AK36,3,Backing down,NULL,NULL
,AK36,4,Accelerating,NULL,NULL
,AK36,5,In hard tum (direction indicated by addition of PORT/STBD),NULL,NULL
,AK36,6,Slowing,NULL,NULL
,AK36,7,Stopped,NULL,NULL
,AK36,8,Opening this unit or unit indicated,NULL,NULL
,AK36,9,Closing this unit or unit indicated,NULL,NULL
,AK37,1,Aircraft sighting,NULL,NULL
,AK37,2,Attack on own forces,NULL,NULL
,AK37,3,OIF,NULL,NULL
,AK37,4,JEZEBEL,NULL,NULL
,AK37,5,JULIE,NULL,NULL
,AK37,6,Radar,NULL,NULL
,AK37,7,Sighting,NULL,NULL
,AK37,8,Sonar,NULL,NULL
,AK37,9,Torpedoing,NULL,NULL
,AK37,10,MAD,NULL,NULL
,AK37,11,SS,NULL,NULL
,AK42,1,Torpedo decoys,NULL,NULL
,AK42,2,Noise makers,NULL,NULL
,AK42,3,At short stay,NULL,NULL
,AK42,4,At long stay,NULL,NULL
,AK42,5,At Free_Text_Tack_1 feet,NULL,NULL
,AK43,1,According to plan (or plan __).,NULL,NULL
,AK43,2,Operate torpedo decoys,NULL,NULL
,AK43,3,Operate torpedo detection sonar equipment,NULL,NULL
,AK48,1,Capable of listening only,NULL,NULL
,AK48,2,Fit for service,NULL,NULL
,AK48,3,Out of action,NULL,NULL
,AK49,1,Lower domes,NULL,NULL
,AK49,2,Raise domes,NULL,NULL
,AK49,3,Lower VDS transducer to depth desired (or at depth in feet indicated by numerals following TACK),NULL,NULL
,AK49,4,Recover VDS transducer,NULL,NULL
,AK52,1,All - round red masthead lights,NULL,NULL
,AK52,2,Special ASW lights,NULL,NULL
,AK55,1,Operation of sonar emission equipment is authorized in accordance with standard instructions.,NULL,NULL
,AK55,2,Sonar emission equipment may be used for navigation.,NULL,NULL
,AK55,3,Operation of underwater telephone equipment is authorized.,NULL,NULL
,AK55,4,Operation of noise makers is authorized.,NULL,NULL
,AK55,5,Operation of fathometer is authorized.,NULL,NULL
,AK55,6,"Operation of sonar emission equipment is authorized for turning, maintenance,and calibration purposes.",NULL,NULL
,AK55,7,Silence all sonar emission equipment.,NULL,NULL
,AK55,8,Energize VDS transducer,NULL,NULL
,AK55,9,De-energize VDS transducer,NULL,NULL
,AK56,1,Combined listening/echo watch,NULL,NULL
,AK56,2,Echo sweep,NULL,NULL
,AK56,3,For communication purposes with ship in company or with shipes) or unites) indicated.,NULL,NULL
,AK56,4,For communication purposes with submarine(s),NULL,NULL
,AK56,5,Listening watch,NULL,NULL
,AK56,6,To assist navigation.,NULL,NULL
,AK57,1,High speed,NULL,NULL
,AK57,2,Interference caused by you or unit indicated,NULL,NULL
,AK57,3,Predicted sonar range estimated to be Free_Text_Tack_1 hundreds of yards,NULL,NULL
,AK57,4,Sonar equipment in poor material condition,NULL,NULL
,AK57,5,Weather conditions,NULL,NULL
,AK65,1,Maintain speed at least 10 knots,NULL,NULL
,AK65,2,Stop engines and tap hull,NULL,NULL
,AK68,1,"Recognition flare, red",NULL,NULL
,AK68,2,"Submarine grenade, black",NULL,NULL
,AK68,3,"Submarine grenade, green",NULL,NULL
,AK68,4,"Submarine grenade, red",NULL,NULL
,AK68,5,"Submarine grenade, yellow",NULL,NULL
,AK68,6,Submarine markers,NULL,NULL
,AK68,7,Torpedo tracks,NULL,NULL
,AK68,8,Water shot,NULL,NULL
,AK68,9,White smoke candle,NULL,NULL
,AK68,10,Yellow smoke candle,NULL,NULL
,AK69,1,Depth of Free_Text_Tack_1 feet,NULL,NULL
,AK69,2,Periscope depth,NULL,NULL
,AK69,3,Snort depth,NULL,NULL
,AK70,1,Depth of Free_Text_Tack_1 feet,NULL,NULL
,AK70,2,Periscope depth,NULL,NULL
,AK70,3,Snort depth,NULL,NULL
,AK82,1,Direct,NULL,NULL
,AK82,2,Intercept,NULL,NULL
,AK82,3,Offset,NULL,NULL
,AK83,1,Datum identity Free_Text_Tack_1,NULL,NULL
,AK83,2,Scene of Action Commander is Free_Text_Tack_1,NULL,NULL
,AK83,3,ETA datum/contact is Free_Text_Tack_1,NULL,NULL
,AK83,4,ETA at torpedo danger area is Free_Text_Tack_1,NULL,NULL
,AK85,1,Contact.,NULL,NULL
,AK87,1,In sector between true bearings Free_Text_Tack_1 and Free_Text_Tack_2 and between distances Free_Text_Tack_3 and Free_Text_Tack_4 miles from uni/position.,NULL,NULL
,AK87,2,Within areas.,NULL,NULL
,AK88,1,"PLAN MERAH. Attack method, carry out plan Free_Text_Tack_1 , (support method, carry out plan__)",NULL,NULL
,AK88,2,"PLAN HITAM.Lost contact action, carry out plan(s) Free_Text_Tack_2",NULL,NULL
,AK89,1,At datum,NULL,NULL
,AK89,2,In position indicated,NULL,NULL
,AK91,1,ASW barrier patrol.,NULL,NULL
,AK91,2,Barrier line (limits may be indicated by position signals following),NULL,NULL
,AK91,3,Circular patrol around DATUM clear of ships engaged in the ASW action.,NULL,NULL
,AK91,4,Cross-over patrol (short leg is __ miles). Perpendicular between short legs is __ miles),NULL,NULL
,AK91,5,Double line cross-over patrol,NULL,NULL
,AK91,6,Endless chain ASW patrol,NULL,NULL
,AK91,7,Fixed station patrol,NULL,NULL
,AK93,1,All-round listening.,NULL,NULL
,AK93,2,Fixed beam echo-ranging.,NULL,NULL
,AK93,3,Normal echo-ranging.,NULL,NULL
,AK93,4,Step-by-step.,NULL,NULL
,AK93,5,Scanning.,NULL,NULL
,AK94,1,Limiting courses are Free_Text_Tack_1 to Free_Text_Tack_2,NULL,NULL
,AK94,2,Limiting speeds are to Free_Text_Tack_1,NULL,NULL
,AK99,1,From ahead,NULL,NULL
,AK99,2,From astern,NULL,NULL
,AK99,3,From the PORT or STBD flank as indicated.,NULL,NULL
,AK100,1,Area search,NULL,NULL
,AK100,2,Bottom search,NULL,NULL
,AK100,3,Intercept search,NULL,NULL
,AK100,4,Lost contact,NULL,NULL
,AK102,1,And is marked with a smoke marker.,NULL,NULL
,AK103,1G,"SEMARAK API
(a) Origin of search bearing Free_Text_Tack_1 at Free_Text_Tack_2 hundred of yards from ship making the signal.
(b) Direction of search.",NULL,NULL
,AK103,2G,"SAGA MERAH
(a) ___
1. SAGA MERAH right.
2. SAGA MERAH left.
(b) Datum bearing ____ at hundred yards from ship making the signal
(c) Datum time.
(d) Direction of axis.
(e) (Speed)
(f) Range(s) and bearing(s) of cooperating helicopters from the datum.",NULL,NULL
,AK103,3G,KAYU MANIS. Datum or search centre bearing Free_Text_Tack_1 at Free_Text_Tack_2 hundred of yards from ship making the signal,NULL,NULL
,AK103,4G,KEPONG,NULL,NULL
,AK105,11S,"JENGKING
(a) Bearing Free_Text_Tack_1
(b) Direction of rotation Free_Text_Tack_2 (clockwise or counter clockwise)
(c)Speed Free_Text_Tack_3",NULL,NULL
,AK105,12S,"LIPAN
(a) Radius of circile Free_Text_Tack_1 hundred of yards.
(b) Direction of rotation Free_Text_Tack_2 (clockwise or counter clockwise)
(c)Speed Free_Text_Tack_3",NULL,NULL
,AK105,13S,SERANGGA (a) Radius of attack zone Free_Text_Tack_1 hundred yards.,NULL,NULL
,AK110,1,ESM,NULL,NULL
,AK110,2,Loop crossing,NULL,NULL
,AK110,3,Radar,NULL,NULL
,AK110,4,Sighting,NULL,NULL
,AK110,5,Sonar,NULL,NULL
,AK110,6,Sonobuoy,NULL,NULL
,AK111,1,Deploy,NULL,NULL
,AK111,2,Recover,NULL,NULL
,AK112,1,Boat patrol,NULL,NULL
,AK112,2,Barbed-wire drag,NULL,NULL
,AK112,3,Operating sonar,NULL,NULL
,AK112,4,Turning of propellers,NULL,NULL
,AK112,5,Throwing off scare charges,NULL,NULL
,AP2,1,General unloading,NULL,NULL
,AP2,2,Re-embarkation,NULL,NULL
,AP2,3,Selective unloading,NULL,NULL
,AP3,1,Deteriorating,NULL,NULL
,AP3,2,Improving,NULL,NULL
,AP3,3,Hazardous due to radioactivity (of roentgens per hour),NULL,NULL
,AP3,4,Hazardous,NULL,NULL
,AP6,1,Not in use,NULL,NULL
,AP6,2,Except DUKW,NULL,NULL
,AP6,3,Except LARC,NULL,NULL
,AP6,4,Except LCM,NULL,NULL
,AP6,5,Except LCPL,NULL,NULL
,AP6,6,Except LCU,NULL,NULL
,AP6,7,Except LCVP,NULL,NULL
,AP6,8,Except LVT,NULL,NULL
,AP6,9,Except ACV,NULL,NULL
,AP6,10,SIBMA,NULL,NULL
,AP6,11,CONDOR,NULL,NULL
,AP7,1,Confirmed,NULL,NULL
,AP7,2,Can be met on schedule (or at ___),NULL,NULL
,AP7,3,At time indicated,NULL,NULL
,AP7,4,Delayed by (Free_Text_Tack_1 hours/Free_Text_Tack_2 minutes),NULL,NULL
,AP7,5,Advanced by (Free_Text_Tack_1 hours/Free_Text_Tack_2 minutes),NULL,NULL
,AP9,1,Airborne,NULL,NULL
,AP9,2,Waterborne,NULL,NULL
,AP9,3,Heloborne,NULL,NULL
,AP11,1,Fire support,NULL,NULL
,AP11,2,Helicopter transport,NULL,NULL
,AP11,3,Landing ship,NULL,NULL
,AP11,4,LVT launching,NULL,NULL
,AP11,5,Sea echelon,NULL,NULL
,AP11,6,Transport,NULL,NULL
,AP11,7,"Transport, inner",NULL,NULL
,AP11,8,"Transport, outer",NULL,NULL
,AP12,1,Moving in to Free_Text_Tack_1 thousand of yard off (Free_Text_Tack_2) beach,NULL,NULL
,AP12,2,Taking station bearing Free_Text_Tack_1 distance Free_Text_Tack_2 miles from centre of (____) beach,NULL,NULL
,AP15,1,Advanced,NULL,NULL
,AP15,2,Retarded,NULL,NULL
,AP16,1,Completed (Except serial__).,NULL,NULL
,AP16,2,Dispatched (Except serial ___).,NULL,NULL
,AP16,3,Received (Except serial ___).,NULL,NULL
,AP16,4,Delayed by (Free_Text_Tack_1 hours/Free_Text_Tack_2 minutes).,NULL,NULL
