id,Grouper,Meaning,Tack_1,Tack_2,Tack_3,Tack_4,Free_Text_Tack_1,Free_Text_Tack_2,Free_Text_Tack_3,Free_Text_Tack_4,Free_Text_Tack_5,Free_Text_Tack_6,Table_Group,List_A,List_B,List_C,Free_Text_List,created_at
,FLAG G24,Cease guiding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,PENNANT ANS,Acknowledge,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT Corpen,Stop The turn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT Emerg,Signal flying are to be obeyed as soon as understood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT FORM,Refuse Boat is Required,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT INT,Signal Not understood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,NEGAT,Negative/Turn Off,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT PORT,Indefinite turn to PORT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT STBD,Indefinite turn to STARBOARD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT STATION,Take Proper or Assign station,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,PENNANT TURN,Water barge is Required,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG A,Divers or friendly explosive ordinance disposal personel down,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG B,"Weapon practice, Fuelling or transfering explosive or inflammable Material,",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG C,Affirmative or permission granted,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG D,Deggausing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG E,No meaning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG F,Flight Operation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG G,Guide Flag,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG H,Helicopter Operations (helicopter transfer/ vertical replenishment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG I,Going alongside,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG J,Semaphore Message,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG K,Personel working aloft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG L,Radhaz / Hero warning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG M,Disregard my movement / Medical duty ships,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG N,Your movement not understood / Ship not keeping visual watch,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG O,Man Overboard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG P,General Recall or Position indicator,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG Q,Boat recall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG R,Replenishing or transferring Abeam / along side method,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG S,Drill Signal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG T,Time indicator,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG U,Anchoring / Mooring / Weighing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG V,Steraming / Recovering Towed Acoustic Device Not including Mine Sweeping Equipment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG X,Exercise,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG Y,Acknowledge / OTC Location,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG Z,Visual Coomunication,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG A,Aircraft to be presumed hostile sighted bearing Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG B,UNIDENTIFIED AIRCRAFT DETECTED bearing Free_Text_Tack_1 (distance Free_Text_Tack_2 miles ),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG C,COLLISION COURSE. You are on collision course with me. Keep Clear.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG D,COLLISION. This ship or ship indicated has been (is) in a collision.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG E,ENEMY (or___) SURFACE CRAFT in sight bearing Free_Text_Tack_1 (distance Free_Text_Tack_2 miles) from this ship (or unit or position indicated),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NULL
,EMERG F,AIRCRAFT EMERGENCY. Have aircraft landing in an emergency.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG G,ENEMY MISSILE DETECTED. Bearing Free_Text_Tack_1 (distance Free_Text_Tack_2 miles).,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NULL
,EMERG H,HELICOPTER EMERGENCY. Have helicopter landing in an emergency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG I,"""SUSPICIOUS ELECTRONIC emissions (from__) indicating an immediate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG J,SURFACE CRAFT (or__) detected bearing Free_Text_Tack_1 (distance Free_Text_Tack_2 miles,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NULL
,EMERG K,ENEMY underwater demolition personnel (or_) have been detected by this ship or ship indicated.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG L,CHEMICAL ALARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG M,MINE SIGHTED/DETECTED AHEAD (or bearing Free_Text_Tack_1) (range Free_Text_Tack_2 hundreds of yards).,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NULL
,EMERG N,FALLOUT DETECTED (bearing Free_Text_Tack_1 distance Free_Text_Tack_2 miles).,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG O,NUCLEAR ATTACK IS POSSIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG P,FIRE. This ship or ship indicated has a fire on board (of type __),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG Q,"INVESTIGATING. Am investigating a sonar contact (or __ contact) still unclassified which might be a submarine, bearing __ (range __ hundreds of yards).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG R,SUBMARINE CONTACT. Have submarine contact Free_Text_Tack_1 bearing Free_Text_Tack_2 (range __ hundreds of yards),1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,NULL
,EMERG S,SUBMARINE(or snort or periscope) SIGHTED bearing Free_Text_Tack_1 (range __ hundreds of yards). (Vol. I Chapter 10),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG T,TORPEDO DETECTED or SIGHTED bearing Free_Text_Tack_1 (range hundreds of yards).,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG U,DANGER. You are standing into danger .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG V,FRIENDLY AIRCRAFT CRASHED (close aboard to PORT or STARBOARD as indicated) or (bearing__)(distance __ miles),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG Z,FRIENDLY SUBMARINES bearing Free_Text_Tack_1 (distance __ miles).,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NULL
,EMERG 1,AVOIDING ACTION. Take individual avoiding action.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG 4,CEASE FIRE. Do not fire.(See also signal 2Q),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG 6,"CLEAR ALL SIDES, using emergency breakaway procedure. (For use in emergency during replenishment or other abeam operations).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,EMERG 0,"ALL SHIPS SCATIER. Ships move out at maximum speed on their present bearings from guide to a distance approximately 6,000 yards from the nearest ship.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,INT Speed,What is your speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED,GUIDE PROCEED at speed Free_Text_Tack_1 other ships proceed as necessary to maintain station.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED 0,"GUIDE is to STOP engines, other ships proceed as necessary to maintain station.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED A,STOP ship by REVERSING engines.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED C,CAVITATION speed. Proceed at Tack_1.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED D,ANTI-HOMING TORPEDO speed. Proceed at HIGH anti-homing Torpedo speed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED E,ZIGZAG SPEED. Carry out speed changes between Free_Text_Tack_1 knots and Free_Text_Tack knots. Two numerals groups separated by TACK indicated,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED F,SPEED CHANGES. Carry out frequent speed changes between Free_Text_Tack_1 knots and optimum sonar speed.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED G,GUIDE proceed at speed Free_Text_Tack_1 upon passing point indicated,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED H,PROCEED at speed Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED K,FLAGS. SHOW SPEED FLAGS. (See Article 802.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED M,MAXIMUM speed. Proceed at maximum speed (or __ ).,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED N,NORMAL speed. Proceed at normal speed (or __ ),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED L,"REPLENISHMENT UNITS alter speed when ordered by control ships to __ knots. Ships not in replenishment unit are to alter speed similarly, preserving true bearings and distance from the formation guide.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED O,ECONOMICAL speed. Proceed at economical speed for your unit.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED P,SONAR SPEED. Proceed at Tack_1 sonar speed.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED R,"REDUCES SPEED. If necessary to avoid damage, reduce speed (to __ ).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED S,STOP ENGINES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED T,MASKING. Use turn count masking or differentiate propeller revolutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED U,SAFE speed. FOLLOW at safe speed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED V,STEERAGEWAY speed. Proceed at steerageway speed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED W,STATIONING speed. Proceed at stationing speed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED X,OPERATIONAL speed. Proceed at operational speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,SPEED Y,STREAMING speed. Proceed at operational speed and Stream Sweep required (or equipment taken from Table Y).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,A SPEED,SCREEN speed is Free_Text_Tack_1. (Two numerals groups separated by TACK indicate:),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,B SPEED,BASE speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,C SPEED,MAXIMUM SPEED (or____) which can be maintained by this unit or unit indicate is,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,D SPEED,CHANGING SPEED. I am Tack_1 speed (to_ knots).,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,E SPEED,ENEMY speed is Free_Text_Tack_1. (Two numeral groups separated by TACK indicate limits between which enemy is expected to proceed.),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,F SPEED,"LAUNCHING, RECOVERY or Aircraft Operations speed. Speed for impending, launching, recovery or aircraft operation is __ .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,G SPEED,GUIDE'S speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,H SPEED,MY ENGINES are turning List_A at List_B.,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,NULL
,I SPEED,OPERATIONAL speed will be required at Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,J SPEED,FUEL at present speed (or__) will last Free_Text_Tack_1 hours,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,K SPEED,ZIGZAG SPEED is Free_Text_Tack_1. (Two numeral groups separated by TACK indicated:),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,L SPEED,LOG SPEED. My (or unit indicate) LOG SPEED is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,M SPEED,MY (or unit indicate) speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,N SPEED,NORMAL speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,O SPEED,"""SEARCH SPEED. Search speed is Free_Text_Tack_1 (Two numeral groups separated by TACK indicate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,P SPEED,"SONAR SPEED. My List_A (List A)(,_ ) (List B) sonar speed is Free_Text_Tack_1",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,NULL
,Q SPEED,SAFE MCM speed. Safe minimum (or __) speed over the ground is Free_Text_Tack_1 .,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,R SPEED,REPLENISHMENT speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,S SPEED,STATIONING speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,T SPEED,MAXIMUM speed is Free_Text_Tack_1 can be maintained on present course (or on course_) without risk of damage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,U SPEED,MAXIMUM speed. Speed in EXCESS of will not be required during the night or until time indicated.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,V SPEED,MAXIMUM (or_) speed of this or indicated ship is Free_Text_Tack_1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,W SPEED,MAXIMUM speed which can be maintained with present engineering configuration is __ .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,X SPEED,OPERATIONAL speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,Y SPEED,STREAMING (or_) speed is Free_Text_Tack_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,Z SPEED,CONVOY speed is Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 1,Form COLUMN in ORDER of sequence numbers (or call signs following).,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 2,Form COLUMN in REVERSE ORDER of sequence numbers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 3,Form LINE ABREAST to STBD in order sequence numbers (or call signs following).,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 4,Form LINE ABREAST to PORT in order of sequence numbers (or call sign following).,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 5,"Form DIVISION IN COLUMN TO STBD, division guides bearing abeam.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 6,"Form DIVISION IN COLUMN TO PORT, division guides bearing abeam.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 7,"Form SUBDIVISIONS IN COLUMN TO STBD, subdivision guides bearing abeam",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 8,Form SUBDIVISION IN COLUMN TO PORT subdivision guides bearing abeam.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 9,"Form DIVISIONS IN LINE ABREAST TO STBD, division guides bearing astern.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 10,"Form DIVISIONS IN LINE ABREAST TO PORT, division guides bearing astern",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 11,"Form SUBDIVISION IN LINE ABREAST TO STBD, subdivision guides bearing astern",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM 12,"Form SUBDIVISIONS IN LINE ABREAST TO PORT, subdivision guides bearing astern.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM,Ships are to form on TRUE BEARING Free_Text_Tack_1 from (SHIP NOT FORMED UP) FROM THE GUIDE (SHIP FORMED UP) FROM THEIR DIVISIONAL/SUBDIVISIONAL LINE GUIDE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 1,Ships are to form RELATIVE BEARING STBD 10 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 2,Ships are to form RELATIVE BEARING STBD 20 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 3,Ships are to form RELATIVE BEARING STBD 30 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 4,Ships are to form RELATIVE BEARING STBD 40 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 5,Ships are to form RELATIVE BEARING STBD 50 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 6,Ships are to form RELATIVE BEARING STBD 60 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 7,Ships are to form RELATIVE BEARING STBD 70 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 8,Ships are to form RELATIVE BEARING STBD 80 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 9,Ships are to form RELATIVE BEARING STBD 90 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 10,Ships are to form RELATIVE BEARING STBD 100 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 11,Ships are to form RELATIVE BEARING STBD 110 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 12,Ships are to form RELATIVE BEARING STBD 120 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 13,Ships are to form RELATIVE BEARING STBD 130 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 14,Ships are to form RELATIVE BEARING STBD 140 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 15,Ships are to form RELATIVE BEARING STBD 150 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 16,Ships are to form RELATIVE BEARING STBD 160 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 17,Ships are to form RELATIVE BEARING STBD 170 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 18,Ships are to form RELATIVE BEARING STBD 180 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 1 ANS,Ships are to form RELATIVE BEARING STBD 15 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 2 ANS,Ships are to form RELATIVE BEARING STBD 25 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 3 ANS,Ships are to form RELATIVE BEARING STBD 35 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 4 ANS,Ships are to form RELATIVE BEARING STBD 45 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 5 ANS,Ships are to form RELATIVE BEARING STBD 55 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 6 ANS,Ships are to form RELATIVE BEARING STBD 65 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 7 ANS,Ships are to form RELATIVE BEARING STBD 75 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 8 ANS,Ships are to form RELATIVE BEARING STBD 85 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 9 ANS,Ships are to form RELATIVE BEARING STBD 95 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 10 ANS,Ships are to form RELATIVE BEARING STBD 105 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 11 ANS,Ships are to form RELATIVE BEARING STBD 115 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 12 ANS,Ships are to form RELATIVE BEARING STBD 125 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 13 ANS,Ships are to form RELATIVE BEARING STBD 135 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 14 ANS,Ships are to form RELATIVE BEARING STBD 145 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 15 ANS,Ships are to form RELATIVE BEARING STBD 155 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 16 ANS,Ships are to form RELATIVE BEARING STBD 165 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM STBD 17 ANS,Ships are to form RELATIVE BEARING STBD 175 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 1,Ships are to form RELATIVE BEARING PORT 10 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 2,Ships are to form RELATIVE BEARING PORT 20 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 3,Ships are to form RELATIVE BEARING PORT 30 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 4,Ships are to form RELATIVE BEARING PORT 40 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 5,Ships are to form RELATIVE BEARING PORT 50 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 6,Ships are to form RELATIVE BEARING PORT 60 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 7,Ships are to form RELATIVE BEARING PORT 70 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 8,Ships are to form RELATIVE BEARING PORT 80 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 9,Ships are to form RELATIVE BEARING PORT 90 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 10,Ships are to form RELATIVE BEARING PORT 100 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 11,Ships are to form RELATIVE BEARING PORT 110 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 12,Ships are to form RELATIVE BEARING PORT 120 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM PORT 13,Ships are to form RELATIVE BEARING PORT 130 degrees from their guide (or ship indicated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
